Classical;Basal;Normal_Stroma;Activated_Stroma
CABLES2;CDH3;C6orf225;CD33
CALHM3;CDK6;C6orf35;CD68
CALML4;CDKN2A;C6orf72;CD93
CAMK2N1;CDKN2B;C7;CDGAP
CANT1;CELSR1;C7orf58;CDH11
CAPN12;CGB;C7orf63;CDH6
CAPN5;CHIC2;C8orf44;CDK2AP1
CAPN8;CHKA;C8orf46;CDYL2
CAPN9;CHMP4B;C8orf84;CEBPB
CARD10;CHMP4C;C9orf119;CEP170
CARD14;CHRNA5;C9orf47;CH25H
CARD6;CHST6;C9orf9;CHIT1
CASC4;CIR;CAB39L;CHN1
CASK;CKLF;CACNA1C;CHST1
CASP3;CKS1B;CACNA2D1;CHST11
CASP6;CLCA2;CACNB2;CHSY1
CASP7;CLCA4;CADM2;CHSY3
CBLC;CLDN1;CALCOCO2;CILP
CCDC109A;CLDN12;CALHM2;CKAP4
CCDC115;CLDN22;CALM1;CLCF1
CCDC52;CLDND1;CAMK2G;CLEC11A
CCDC64B;CLIC3;CAMSAP1L1;CLEC4A
CCDC68;CMTM1;CAPN11;CLEC5A
CCK;CNGB3;CASP12;CLEC7A
CCL25;CNIH4;CAV1;CMTM3
CCND1;CNO;CBLN1;CNIH3
CCRL1;COL17A1;CBR3;CNPY4
CD164;COL7A1;CBX7;COL10A1
CD24;COX6B2;CBY1;COL11A1
CD55;CPD;CC2D2A;COL12A1
CDC42BPA;CPNE8;CCDC102B;COL13A1
CDC42EP2;CREBZF;CCDC104;COL15A1
CDH1;CREG2;CCDC107;COL16A1
CDH16;CRYGC;CCDC121;COL18A1
CDH17;CSF2;CCDC23;COL1A1
CDKN2AIP;CSNK2A1;CCDC25;COL1A2
CDR2;CST6;CCDC3;COL22A1
CDR2L;CSTB;CCDC46;COL24A1
CDS1;CTNNBIP1;CCDC55;COL3A1
CDX1;CTNND1;CCDC81;COL4A1
CDX2;CTSL2;CCL15;COL4A2
CEACAM1;CTTN;CD34;COL5A1
CEACAM3;CUEDC1;CD36;COL5A2
CEACAM5;CXorf39;CDADC1;COL5A3
CEACAM6;CXorf58;CDC26;COL6A1
CEACAM7;CXorf61;CDC42EP3;COL6A2
CEBPG;CYB5R2;CDH13;COL6A3
CENPV;CYP24A1;CDH19;COL8A1
CES2;CYP4Z2P;CDKN1B;COL8A2
CGN;DAAM1;CDKN1C;COLEC12
CGREF1;DCBLD2;CDON;COMP
CHMP2A;DDIT4;CDR1;COPZ2
CHMP2B;DDR1;CEBPD;CORIN
CHP;DDX60;CEP68;CPA3
CHP2;DDX60L;CFD;CPVL
CHPT1;DEFB103A;CHADL;CPZ
CHST5;DHRS9;CHL1;CREB5
CIDEC;DHX32;CHRDL2;CREG1
CIDECP;DIP2B;CHST7;CRISPLD1
CKMT1A;DIS3;CIDEA;CRYBB1
CKMT1B;DKK1;CISD1;CSF1
CLCA1;DLG3;CLASP2;CSF1R
CLCN2;DLG5;CLDN5;CSF2RA
CLDN16;DMBX1;CLEC14A;CSGALNACT2
CLDN18;DMKN;CLEC1A;CST1
CLDN23;DNTTIP1;CLEC3B;CTGF
CLDN4;DOCK5;CLIC4;CTHRC1
CLDN7;DPY19L4;CLIP3;CTSB
